iter	Passed	Remaining
0	8	3300
1	12	2494
2	16	2189
3	20	2031
4	24	1961
5	30	2033
6	34	1964
7	39	1950
8	45	1973
9	49	1936
10	53	1884
11	57	1857
12	61	1842
13	65	1815
14	69	1795
15	75	1803
16	79	1796
17	83	1777
18	87	1750
19	91	1745
20	97	1758
21	102	1756
22	106	1751
23	112	1762
24	118	1774
25	123	1783
26	128	1781
27	133	1780
28	138	1768
29	143	1772
30	148	1767
31	152	1753
32	156	1744
33	160	1729
34	165	1730
35	170	1724
36	175	1723
37	180	1716
38	185	1715
39	189	1704
40	193	1696
41	198	1691
42	202	1683
43	207	1676
44	211	1667
45	217	1672
46	221	1664
47	226	1661
48	231	1656
49	235	1646
50	240	1643
51	247	1656
52	251	1647
53	256	1643
54	261	1641
55	267	1642
56	271	1632
57	276	1628
58	281	1627
59	287	1627
60	291	1622
61	297	1620
62	302	1615
63	307	1616
64	312	1612
65	316	1603
66	320	1594
67	325	1587
68	329	1579
69	333	1573
70	337	1564
71	342	1559
72	347	1557
73	351	1548
74	355	1541
75	359	1534
76	363	1526
77	369	1523
78	373	1518
79	378	1513
80	382	1506
81	387	1500
82	391	1493
83	395	1486
84	401	1486
85	406	1486
86	411	1479
87	416	1475
88	420	1469
89	424	1462
90	428	1455
91	432	1448
92	439	1450
93	442	1442
94	446	1434
95	451	1429
96	455	1423
97	459	1414
98	462	1407
99	467	1401
100	473	1400
101	477	1394
102	481	1388
103	486	1384
104	491	1380
105	496	1376
106	501	1372
107	505	1367
108	510	1362
109	514	1356
110	519	1352
111	523	1345
112	527	1339
113	531	1332
114	535	1326
115	541	1325
116	545	1320
117	549	1314
118	554	1309
119	558	1302
120	563	1299
121	568	1294
122	572	1288
123	576	1284
124	581	1280
125	588	1278
126	594	1277
127	599	1273
128	604	1269
129	609	1264
130	615	1264
131	619	1257
132	622	1250
133	627	1245
134	632	1241
135	636	1235
136	640	1230
137	644	1224
138	648	1218
139	652	1211
140	657	1207
141	662	1204
142	666	1198
143	673	1197
144	678	1193
145	682	1187
146	687	1182
147	691	1177
148	696	1173
149	700	1167
150	705	1163
151	710	1159
152	714	1153
153	719	1148
154	724	1144
155	727	1138
156	731	1132
157	735	1126
158	740	1121
159	743	1115
160	748	1111
161	753	1106
162	757	1101
163	763	1098
164	768	1094
165	772	1088
166	778	1085
167	784	1083
168	788	1077
169	791	1070
170	795	1065
171	799	1060
172	804	1056
173	809	1051
174	814	1047
175	819	1042
176	823	1037
177	828	1033
178	833	1029
179	837	1023
180	844	1021
181	851	1019
182	855	1014
183	864	1014
184	868	1009
185	874	1005
186	879	1001
187	883	996
188	888	991
189	895	989
190	898	983
191	904	980
192	909	975
193	913	969
194	917	964
195	920	958
196	925	953
197	929	947
198	934	944
199	942	942
200	945	936
201	950	931
202	957	929
203	962	924
204	966	919
205	971	914
206	975	909
207	979	903
208	983	899
209	988	894
210	991	888
211	996	883
212	1000	878
213	1005	874
214	1010	869
215	1016	865
216	1019	860
217	1023	854
218	1030	851
219	1033	845
220	1037	840
221	1042	836
222	1047	831
223	1051	826
224	1056	821
225	1060	816
226	1065	812
227	1071	808
228	1078	805
229	1083	800
230	1088	796
231	1093	791
232	1098	786
233	1102	781
234	1107	777
235	1110	771
236	1115	767
237	1120	762
238	1125	757
239	1129	752
240	1133	748
241	1139	743
242	1143	738
243	1147	733
244	1151	728
245	1156	724
246	1163	720
247	1169	716
248	1173	711
249	1178	707
250	1184	703
251	1188	698
252	1192	692
253	1198	688
254	1202	683
255	1205	678
256	1210	673
257	1216	669
258	1220	664
259	1225	660
260	1231	655
261	1235	650
262	1241	646
263	1246	642
264	1250	637
265	1255	632
266	1261	628
267	1266	623
268	1272	619
269	1278	615
270	1283	610
271	1287	606
272	1293	601
273	1296	596
274	1303	592
275	1308	588
276	1312	582
277	1316	577
278	1323	573
279	1327	568
280	1330	563
281	1334	558
282	1339	553
283	1343	548
284	1348	544
285	1353	539
286	1358	534
287	1363	530
288	1367	525
289	1371	520
290	1375	515
291	1382	511
292	1386	506
293	1389	501
294	1394	496
295	1398	491
296	1403	486
297	1407	481
298	1411	476
299	1419	473
300	1422	467
301	1426	463
302	1433	459
303	1437	454
304	1442	449
305	1448	444
306	1452	439
307	1455	434
308	1463	431
309	1468	426
310	1472	421
311	1477	416
312	1481	411
313	1484	406
314	1488	401
315	1493	397
316	1498	392
317	1502	387
318	1512	383
319	1515	378
320	1524	375
321	1529	370
322	1535	366
323	1540	361
324	1544	356
325	1548	351
326	1552	346
327	1559	342
328	1563	337
329	1567	332
330	1571	327
331	1576	322
332	1580	317
333	1585	313
334	1589	308
335	1594	303
336	1598	298
337	1603	294
338	1607	289
339	1611	284
340	1616	279
341	1620	274
342	1624	270
343	1629	265
344	1634	260
345	1638	255
346	1642	250
347	1648	246
348	1652	241
349	1656	236
350	1662	232
351	1666	227
352	1670	222
353	1674	217
354	1679	212
355	1683	208
356	1686	203
357	1691	198
358	1695	193
359	1701	189
360	1707	184
361	1712	179
362	1716	175
363	1722	170
364	1727	165
365	1731	160
366	1737	156
367	1742	151
368	1745	146
369	1750	141
370	1756	137
371	1760	132
372	1764	127
373	1768	122
374	1774	118
375	1778	113
376	1782	108
377	1788	104
378	1792	99
379	1797	94
380	1801	89
381	1805	85
382	1814	80
383	1819	75
384	1824	71
385	1830	66
386	1835	61
387	1839	56
388	1843	52
389	1848	47
390	1852	42
391	1862	38
392	1867	33
393	1870	28
394	1877	23
395	1884	19
396	1888	14
397	1895	9
398	1900	4
399	1904	0
